vendor_name,legal_name,headquarters_address,address,rcs_number,vat_number,social_capital,eu_contact_name,eu_contact_address,eu_contact_country,eu_contact_email
Morgan,CAFAN SAS,Zac de la moinerie - 10 impasse du Grand Jardin - 35400 Saint- Malo,"3 61-69 Immeuble BLOOM, 61 rue de Bercy, 75012 PARIS",493983431,FR 194 939 834 31,1 000 000€,CAFAN SAS,10 impasse du Grand Jardin 35400 Saint-Malo,,customer@info-product.eu
Miroglio,MIROGLIO FASHION S.R.L.,"Via Santa Margherita 23, 12051 – Alba (CN), Italy","VIA SANTA BARBARA N. 11, 12051 – Alba (CN), Italy",CUNEO 03232400048,IT 03232400048,97 000 000 €,Miroglio Fashion S.r.l.,Via S. Margherita n. 23 – 12051 Alba (Cn),,fashion@miroglio.com
Next,NEXT NEAR EAST LIMITED,Desford Road Enderby LEICESTER LE19 4AT ROYAUME-UNI,Desford Road Enderby LEICESTER LE19 4AT ROYAUME-UNI,00035161,GB179765890,£12 926 335,Next Germany GmbH,"Zielstattstrasse 40, 81379 Munich, Germany",,safety@next.co.uk
North Sails,North Sails Apparel S.P.A. Società Benefit,"Via Luca Signorelli 10, 20154 Milane, MI, Italy","Via Luca Signorelli 10, 20154 Milane, MI, Italy",MILAN 355610106,IT08768270152,6.521.000 €,Martino Forcella,"Via Signorelli 10, 20154, Milan, Italy",,martino.forcella@northsails.com
Oxbow,OXBOW SAS,18 Avenue de Pythagore 33692 MERIGNAC CEDEX,18 Avenue de Pythagore 33700 MERIGNA,BORDEAUX 332 349 232,FR34332349232,3 408 000 €,OXBOW,5 avenue Pythagore 33700 MERIGNAC,France,service-client@oxbow.fr
Project X Paris,TJ MAX SAS,"290 rue de la Belle Etoile, 95700 Roissy-en-France","290 rue de la Belle Etoile, 95700 Roissy-en-France",PONTOISE 793 160 334,FR10793160334,8 000 €,Maxime GOV,290 Rue De La Belle Etoile,,maxime@projectxparis.fr
Promod,PROMOD SAS,Chemin du Verseau 59700 MARCQ-EN-BAROEUL,Chemin du Verseau 59700 MARCQ-EN-BAROEUL,Lille 685 520 606,FR55685520606,11 745 500 €,Promod,"Chemin du verseau à Marcq en Baroeul (59700), France",,service@promod.fr
Quiksilver,NA PALI,162 Rue Belharra 64500 SAINT-JEAN-DE-LUZ,162 Rue Belharra 64500 SAINT-JEAN-DE-LUZ,BAYONNE 331 377 036,FR42331377036,5 067 884 €,Napali et Emerald,162 rue Belharra 64500 Saint Jean de Luz,,customer@info-product.eu
Pertemba FR,UNIVERSAL TEXTILES UK LTD,"50 Oswin Road, Leicester, LE3 1HR","50 Oswin Road, Leicester, LE3 1HR",Leicester 06865782,GB 881 2225 34,120 €,UT E Trade Limited,"8 Priory Office Park, Stillorgan Road Blackrock Co, Dublin, A94 EE95, IE",,GPSR@pertembaglobal.com
Rip Curl,RIP CURL EUROPE,407 Avenue de la Tuilerie 40150 SOORTS HOSSEGOR,407 Avenue de la Tuilerie 40150 SOORTS HOSSEGOR,Dax 332 899 731,FR09332899731,1 000 000 €,Lefin,407 Av De La Tuilerie,,mathieu.lefin@kmdbrands.com
Rodier,RODIER SAS,47 rue Réaumur 75003 PARIS,15 Avenue Victor-Hugo 75116 PARIS,PARIS 453 162 398,FR02453162398,1 000 000 €,Rodier,"20 rue bachaumont, 75002, Paris",,contact@rodier.fr
Roxy,NA PALI SAS,162 Rue Belharra 64500 SAINT-JEAN-DE-LUZ,162 Rue Belharra 64500 SAINT-JEAN-DE-LUZ,BAYONNE 331 377 036,FR42331377036,5 067 884 €,Napali et Emerald,162 rue Belharra 64500 Saint Jean de Luz,,customer@info-product.eu
Salsa Jeans,Irmãos Vila Nova SA,"Avenida. da Industria, nº 511, Apartado 7079, 4760 – 725 Ribeirão, V.N. Famalicão PORTUGAL","Avenida. da Industria, nº 511, Apartado 7079, 4760 – 725 Ribeirão, V.N. Famalicão PORTUGAL",Conservatória do Registo Comercial de Vila Nova de Famalicão 2104/19880601,PT501997784,4 250 000 €,IVN SA,4760-725,,customer.care@salsajeans.com
Popken Fashion,PFG DISTRIBUTION GMBH,"Am Waldrand 19, 26180 Rastede, Germany","Am Waldrand 19, 26180 Rastede, Germany",OLDENBURG HRB 213597,DE815788358,"50 000,00 €",Popken Fashion Services GmbH,"Am Waldrand 19,26180 Rastede, Germany",,kunden-service@popken.de
Superdry,SUPERGROUP INTERNET LIMITED,"UNIT 60, THE RUNNINGS, CHELTENHAM, GLOUCESTER, GL519NW, ROYAUME UNI","UNIT 60, THE RUNNINGS, CHELTENHAM, GLOUCESTER, GL519NW, ROYAUME UNI",791 016 108,FR 54 528 720 824,£2,DKH Retail Ltd,"Unit 60, GL51 9NW, UK",,care@superdry.com
TBS,TECHNISYNTHESE SAS,BP 36 Saint Pierre Montlimart 49110 MONTREVAULT SUR EVRE,BP 36 Saint Pierre Montlimart 49110 MONTREVAULT SUR EVRE,302 135 256 RCS ANGERS,FR47302135256,5 370 000 €,TECHNISYNTHESE,"Route de Chaudron, 49111 Saint-Pierre-Montlimart",,cdelion@tbs.fr
Vertbaudet,VERTBAUDET SAS,"36 avenue Alfred Lefrançois, 59200 Tourcoing, France","36 avenue Alfred Lefrançois, 59200 Tourcoing, France",RCS Lille Metropole 397 555 327,FR68397555327,32 352 340 €,vertbaudet,36 avenue Alfred Lefrançois 59200 TOURCOING,,signalement@vertbaudet.com
Yoek,YOEK BV,Venenweg 19 1161 AK ZWANENBURG THE NETHERLAND,Venenweg 19 1161 AK ZWANENBURG THE NETHERLAND,AMSTERDAM 34224017,NL814592831B01,20 700 €,YOEK BV,"Venenweg 19, 1161 AK, Zwanenburg, The Netherlands",,fashionadvisor@yoek.com
Betty Barclay,PRO FASHION GmBh,"Heidelberger Str. 9-11, 69226 Nußloch, Allemagne","Heidelberger Str. 9-11, 69226 Nußloch, Allemagne",HRB 337468,DE186465244,750 000 €,Betty Barclay Group GmbH & Co. KG,"Heidelberger Str. 9-11, 69226 Nussloch, Germany",,info@bettybarclay.com
Armor Lux,BONNETERIE D’ARMOR SAS,"21-23 rue Louison Bobet, Kerdroniou Ouest, 29000 QUIMPER","21-23 rue Louison Bobet, Kerdroniou Ouest, 29000 QUIMPER",375 680 139 R.C.S Quimper,FR48375680139,1 600 000€,YANNICK LE FLOCH,"21,23 Rue Louison Bobet 29000 Quimper",,jg.lefloch@armorlux.com
WILD,HIPANEMA SARL,58 rue Charlot 75003 Paris,58 rue Charlot 75003 Paris,PARIS 750 123 291,FR52750123291,1000 €,JENNIFER COLLINET,58 rue charlot 75003 Paris,,info@hipanema.com
Adolfo Dominguez,ADOLFO DOMINGUEZ S.A.,,"POLIG.IND.SAN CIBRAO DAS VIÑAS C/4 PARC.8 SAN CIBRAO DAS VIÑAS 32901 OURENSE, SPAIN",A32104226,ESA32104226,"5 565 664,80 €","ADOLFO DOMÍNGUEZ, S.A.","San Ciprian de Viñas, Industrial Estate, street 4, plot 8",,contacto.seguridad@adolfodominguez.com
Ange,DADIER SARL,"113 boulevard de Sébastopol, 75002 PARIS","9 rue Joseph et Etienne Montgolfier, 93110 Rosny-sous-Bois",Paris 482 113 982,FR81482113982,1 800 000€,Anne-Marie Elbaze,68 Boulevard de Courcelles 75017,,annemarieelbaze@yahoo.fr
Artlove,MC LIN SAS,"10 passage des taillandiers, 75011 Paris","10 passage des taillandiers, 75011 Paris",Paris 417 709 516,FR13417709516,400 000 €,Faxin Lin,10 passage des taillandiers,,james@sweewe.com
Bindi Atelier,BINDI ATELIER,"6 avenue de la créativité, 59650 Villeneuve d'Ascq, France","6 avenue de la créativité, 59650 Villeneuve d'Ascq, France",LILLE 840 104 905,FR05840104905,1000 €,BINDI ATELIER,"6 avenue de la créativité, 59650 Villeneuve d'Ascq, France",France,hello@bindiatelier.com
Bonobo,MAGELLAN SAS,"ZAC de la Moinerie, 10 impasse du Grand Jardin, 35400 Saint- Malo","ZAC de la Moinerie, 10 impasse du Grand Jardin, 35400 Saint- Malo",Saint-Malo B 443 061 304,FR05443061304,250 000€,MAGELLAN SAS,10 impasse du Grand Jardin 35400 Saint-Malo,,customer@info-product.eu
Bréal,PAULINE SAS,"ZAC de la Moinerie 10, impasse du Grand Jardin 35400 SAINT MALO","ZAC de la Moinerie 10, impasse du Grand Jardin 35400 SAINT MALO",SAINT-MALO 410 146 468,FR 42 410 146 468,210 000€,Pauline SAS,10 impasse du Grand Jardin 35400 Saint-Malo,,customer@info-product.eu
Caroll,CAROLL INTERNATIONAL SA,"10 impasse du Grand jardin, ZAC de la Moinerie, 35400 SAINT MALO",61-69 Immeuble BLOOM 61 rue de Bercy 75012 PARIS,Saint-Malo B 582 001 707,FR89582001707,"21 966 966,85 €",CAROLL S.A,ZAC de la Moinerie 10 impasse du Grand Jardin 35400 Saint-Malo France,France,customer@info-product.eu
Cyrillus,CYRILLUS SAS,"34 A rue de la Ladrié, 59491 Villeneuve d'Ascq","34 A rue de la Ladrié, 59491 Villeneuve d'Ascq",RCS Paris 421 022 997,FR 90421022997,40 865 670 €,Amandine Devienne,"34 A, rue de la Ladrié 59 491 VILLENEUVE D’ASCQ",,adevienne@cyrillus.com
Damart,DAMART SA,25 avenue de la Fosse aux Chênes 59100 ROUBAIX,25 avenue de la Fosse aux Chênes 59100 ROUBAIX,Lille Métropole 333 202 083,FR18333202083,29 000 000 €,Damart,160 boulevard de Fourmies 59100 Roubaix France,,contact@damart.com
Daxon,MOVITEX,5 rue des Précurseurs 59665 VILLENEUVE D'ASCQ,5 rue des Précurseurs 59665 VILLENEUVE D'ASCQ,756 200 150,FR61756200150,41 172 646 €,MOVITEX,"5 rue des Précurseurs, 59650 Villeneuve D'Ascq",,rsgp@movitex.com
Etam,ETAM LINGERIE SA,57-59 rue Henri Barbusse 92110 CLICHY,57-59 rue Henri Barbusse 92110 CLICHY,NANTERRE 478 355 753,FR92478355753,9 165 940€,Etam Lingerie,57-59 rue Henri Barbusse,,sci-etam@etam.fr
Falke,FALKE KGaA,"Oststr. 5 ; 57392 Schmallenberg, Germany","Oststr. 5 ; 57392 Schmallenberg, Germany",HRB 7738 AMTSGERICHT ARNSBERG,DE 125915122,12 000 000€,FALKE KGaA,"Oststraße 5, 57392 Schmallenberg, Allemagne",,online@FALKE.com
Frnch,LUCY SAS,"94 boulevard Sébastopol, 75003 PARIS","94 boulevard Sébastopol, 75003 PARIS",PARIS 410 504 336,FR50410504336,71 000 €,JIN Chloé,57 rue de la belle etoile 95500 Gonesse,,chloe@frnch.fr
Grain de Malice,EPHIGEA,197 rue du 8 Mai 1945 59650 Villeneuve-d'Ascq,197 rue du 8 Mai 1945 59650 Villeneuve-d'Ascq,LILLE METROPOLE 475 483 319,FR76475483319,6 789 784 €,EPHIGEA,197 rue du 8 Mai 1945 59650 Villeneuve-d'Ascq,,qualite@graindemalice.com
Guess,GUESS EUROPE SAGL,STRADA REGINA 44,STRADA REGINA 44,,CHE113.255.366,100.000 CHF,"Guess? Europe, B.V.","Kalverstraat 41,  1012 NZ Amsterdam, The Netherlands",,info@ch.guess.eu
Humility,LA FEE,"3 chemin de la Chapelle, 42300 Mably, France, 42300 Mably, France","3 chemin de la Chapelle, 42300 Mably, France, 42300 Mably, France",Roanne 487641664,FR07487641664,4 498 200€,Pierre-Yves VINCENT-FALQUET,"5 bis Rue Saint Isidore, 69003 Lyon, France",,pyvincentfalquet@lafeemaraboutee.fr
IKKS Retail,IKKS RETAIL SAS,"8-10 Rue Barbette, 75003 PARIS","8-10 Rue Barbette, 75003 PARIS",PARIS 479 960 965,FR66479960965,36 037 000 €,Service Client,94 rue Choletaise - Saint-Macaire-en-Mauges - 49 450 SEVREMOINE,,serviceclient@ikks.com
Joe Browns,JOE BROWNS LTD,"KANDY WORK, BROWN LANE EAST, HOLBECK, LEEDS, LS11 0BT","KANDY WORK, BROWN LANE EAST, HOLBECK, LEEDS, LS11 0BT",LEEDS 2540247,GB 708406738,"17,326,057 €",,,,
La Petite Etoile,LPE ONLINE SAS,"15 rue du Louvre, 75001 PARIS","15 rue du Louvre, 75001 PARIS",PARIS 891 836 991,FR46891836991,260 976 €,LPE Wholesale,15 rue du Louvre 75001 Paris,,b2b@lapetiteetoile.com
Laurence Tavernier,FREMAUX DELORME SAS,10 rue de la pépinière 75008 PARIS,35 avenue de la Marne 59290 WASQUEHAL,PARIS 456 501 600,FR30456501600,3 397 302€,Léo CROSTE BAYLIES,Service Qualité & RSE - 35 B Avenue de la Marne – CS 90120 - 59442 Wasquehal cedex - France,,contact@fremaux.fr
The Agent,THE AGENT SAS,231 Rue Saint-Honoré 75001 PARIS,231 Rue Saint-Honoré 75001 PARIS,Paris 893 432 104,FR84893432104,50 000 €,Déborah Schinasi,231 RUE SAINT HONORE,,deborah@theagent.com
Arena,ARENA ITALIA S.P.A,"Contrada Cisterna 84/85, Tolentino, MC, 62029, Italy","Contrada Cisterna 84/85, Tolentino, MC, 62029, Italy",ITALIE IT 00 660 160 433,IT 00 660 160 433,3.000.000 €,arena S.p.A.,"Contrada Cisterna 84/85, Tolentino, 62029, MC, Italy",Italie,info@arenasport.com
Banana Moon,DIGITAL DISTRIBUTION COMPANY SAM,6 AVENUE ALBERT II 98000 MONACO,6 AVENUE ALBERT II 98000 MONACO,,FR 85 000 118 041,150 000 €,Banana Moon,"6 Avenue Albert II, Monaco 98000 Monaco",,info@bananamoon.com
Bensimon,IMPERIAL CLASSIC DIFFUSION,"52, rue Bichat 75010 PARIS","52, rue Bichat 75010 PARIS",Paris B 421 529 710,FR45421529710,530 000 €,Bensimon - service e-shop,52 rue Bichat 75010 Paris,,e-shop@bensimon.com
Billabong,NA PALI,"162 Rue Belharra, 64500 Saint-Jean-De-Luz","162 Rue Belharra, 64500 Saint-Jean-De-Luz",Bayonne 331377036,FR 42 331 377 036,5 067 884 €,Napali et Emerald,162 rue Belharra 64500 Saint Jean de Luz,,customer@info-product.eu
Born Living Yoga,CONEXIONBORN SL,"Calle Saturno 1, Planta 2, 28224 POZUELO DE ALARCON MADRID ESPAGNE","Calle Saturno 1, Planta 2, 28224 POZUELO DE ALARCON MADRID ESPAGNE",B87840195,ESB87840195,3 675 €,Alvaro Roca Puig,"Calle Saturno 1, Planta 2, 28224, Pozuelo de Alarcón, Madrid",,alvaro@bornlivingyoga.com
BZB,BZB SAS,152 Avenue Alfred Motte 59100 Roubaix,152 Avenue Alfred Motte 59100 Roubaix,Lille métropole 482 435 898,FR00 482 435 898,9 062 920 €,BZB Service Client,"152 Avenue Alfred Motte, Roubaix",,client@b-z-b.com
Cache-Cache,CACHE CACHE SAS,Zac de la Moinerie - 10 impasse du Grand Jardin - 35400 SAINT MALO,Zac de la Moinerie - 10 impasse du Grand Jardin - 35400 SAINT MALO,SAINT MALO 382 456 051,FR76382456051,509000 €,CACHE CACHE SAS,10 impasse du Grand Jardin 35400 Saint-Malo,France,customer@info-product.eu
Deeluxe,SAS JL26,2 Avenue Elsa Triolet   13008 MARSEILLE,2 Avenue Elsa Triolet   13008 MARSEILLE,MARSEILLE 477884969,FR60477884969,201 000€,Jean-Michel Sanchez,2 Avenue Elsa Triolet Bureaupole Bat B 13008 Marseille,,jm@deeluxe.fr
Desigual,"ABASIC, S.A","Passeig Del Mare Nostrum 15, 08039 BARCELONA ESPAGNE","Passeig Del Mare Nostrum 15, 08039 BARCELONA ESPAGNE",Registre espagnol B-63054068,ESA63054068,20 588 406€,"ABASIC, S.A.","Passeig del Mare Nostrum, 15, 08039 Barcelona",,desigual@b2b.desigual.com
Element,NA PALI SAS,162 Rue Belharra – 64500 Saint-Jean-De-Luz,162 Rue Belharra – 64500 Saint-Jean-De-Luz,Bayonne 331 377 036,FR 42 331 377 036,5 067 884 €,Napali et Emerald,162 rue Belharra 64500 Saint Jean de Luz,,customer@info-product.eu
Galerie Chic,LE SHOW ROOM,47 Rue Cartier Bresson 93500 Pantin,47 rue Cartier Bresson 93500 Pantin,BOBIGNY 490 297 447 00032,FR67490297447,120 000 €,Yohan Corcos,8 Allée Maillasson 92100 Boulogne Billancourt,,yohan@yes-consulting.eu
Geox,GEOX FRANCE SARL,Via Feltrina Centro 16 – 31044 BIANDENE DI MONTEBENULLA (TV) Italie,432 avenue André Lasquin 74700 SALLANCHES,ANNECY 410 882 914,FR11410882914,15 000 000 €,GEOX SPA,"Via Feltrina Centro 16, 31044 Montebelluna (Italy)",,product.safety@geox.com
Grace & Mila,FC DESIGN,"110 B AVENUE DU GENERAL LECLERC, 93500 Paris, France","110 B AVENUE DU GENERAL LECLERC, 93500 Paris, France",BOBIGNY 533 680 096,FR10533680096,8000 €,JULIE CHOU,115 RUE LAFAYETTE 75010 PARIS,,julie@graceandmila.com
Lacoste,LACOSTE E-COMMERCE SAS,"31-37 boulevard de Montmorency, 75016 Paris, France","31-37 boulevard de Montmorency, 75016 Paris, France",PARIS 403 285 513,FR92403285513,3 684 000.00 €,Lacoste Opérations,31-37 Boulevard de Montmorency 75016 Paris,,productsafety@lacoste.com
Lingerie Le Chat,Le textile indémaillable SASU,3 rue de la Caille 71170 CHAUFFAILLES,3 rue de la Caille 71170 CHAUFFAILLES,795 520 246,FR07795520246,1 000 000 €,Grégoire CHALUMET,28 chemin du lavoir 69570 Dardilly,,gchalumet@lingerielechat.com
Le Coq Sportif,LCS INTERNATIONAL SAS,8 rue Adolphe Seyboth 67000 STRASBOURG,8 rue Adolphe Seyboth 67000 STRASBOURG,PARIS 429928898,FR16429928898,18 151.21 €,David Pecard,60 avenue Liberté 10100 Romilly sur Seine,,dpecard@lecoqsportif.fr
New Balance,NEW BALANCE ATHLETIC SHOES (U.K.) LIMITED,"Appleton House, 430 Birchwood Avenue, WARRINGTON, WA3 7WD, ROYAUME UNI","Appleton House, 430 Birchwood Avenue, WARRINGTON, WA3 7WD, ROYAUME UNI",Registre anglais 01616165,NL808873301B01,100£,New Balance Europe BV,"A-Factorij, Pilotenstraat 35 – 45, 1059 CH Amsterdam, Netherlands",,Emeacustomercare@newbalance.com
Pepe Jeans,PEPE JEANS SL,"CTRA LAUREA MIRO 403-405, 08980 SANT FELIU DE LLOBREGAT,  BARCELONA","CTRA LAUREA MIRO 403-405, 08980 SANT FELIU DE LLOBREGAT,  BARCELONA",BARCELONA  B-61663555,ESB61663555,517 461.20 €,"Pepe Jeans, S.L.","Carretera Laureà Miró, núm. 403-405; 8980, Sant Feliu de Llobregat, Spain",,sustainability@awwg.com
PERPETE,PERPETE SAS,4 rue Jean Jaurès 35000 RENNES,4 rue Jean Jaurès 35000 RENNES,Rennes 850 256 439,FR02850256439,10 530€,Nathalie Parmentier,"4 rue Jean Jaurès, 35000 Rennes",,nathalie@perpete.co
Undiz,UNDIZ SAS,6 rue Castérès  92110 CLICHY,6 rue Castérès  92110 CLICHY,NANTERRE 478 356 116,FR17478356116,1 275 980 €,Marie Delahaie,UNDIZ- 6 rue Castérès - 92110 CLICHY,,macommande@undiz.com
Webtex,WEBTEX SAS,238 Rue Benoit Fourneyron ZA de l'Etang 26780 CHÂTEAUNEUF DU RHÔNE,"2 Rue de Dion Bouton, ZA Fortuneau, 26200 MONTELIMAR",ROMANS 789 655 263,FR82789655263,200 000 €,TEXTISS,"ZA de l'Etang, 238 Rue Benoit Fourneyron, 26780 Chateauneuf-du-Rhone",,contact@textiss.com
Cache Coeur,SARL CACHE COEUR,"ZI de Kercao , rue Jean Fourasite 29490 LE RELECQ KERHUON","ZI de Kercao , rue Jean Fourasite 29490 LE RELECQ KERHUON",BREST  501 110 034,FR42502110034,37 000 €,CACHE COEUR,"ZI KERSACO, 29480 LE RELECQ KERHUON",,contact@cachecoeur.com
Protest Sportswear,DEKKER OLIFANTA B.V.,Veerpolder 7 - 2361 KX Warmond - Pays-Bas,Veerpolder 7 - 2361 KX Warmond - Pays-Bas,KVK LEIDEN 006168024B01,NL006168024B01,,Caroline Dekker,Sole Miopark 9,,c.dekker@protest.eu
Sandra & Cocoa,SANDRA & COCOA SL,"Avenida de Isaac Peral, 8, 28816 VALDEAVERO, ESPANA","Avenida de Isaac Peral, 8, 28816 VALDEAVERO, ESPANA",MADRID 111 19136 M-334.889,ESB83721167,3 010 €,SANDRA & COCOA SL,"AVDA. ISAAC PERAL 8, 28816 VALDEAVERO (MADRID)",,blanca@sandrandco.com
Bonobo,PAULINE SAS,"ZAC de la Moinerie 10, impasse du Grand Jardin 35400 SAINT MALO","ZAC de la Moinerie 10, impasse du Grand Jardin 35400 SAINT MALO",SAINT-MALO 410 146 468,FR 42 410 146 468,210 000€,Pauline SAS,10 impasse du Grand Jardin 35400 Saint-Malo,,customer@info-product.eu
Livia,SAM DIGITAL DISTRIBUTION COMPANY,6 AVENUE ALBERT II 98000 MONACO,6 AVENUE ALBERT II 98000 MONACO,,FR 850 0011 8041,150 000€,LIVIA,"6 Avenue Albert II, Monaco 98000 Monaco",,info@livia.com
RougeGorge Lingerie,ROUGEGORGE LINGERIE SASU,1B RUE DU MOLINEL 59290 WASQUEHAL,1 bis rue du Molinel- 59290 WASQUEHAL,LILLE METROPOLE 558 503 355,FR74558503355,10100767.2 €,ROUGEGORGE LINGERIE,"1, Bis rue du Molinel ,59290 Wasquehal",,securite.produit@rougegorge.com
Arthur,2 JDL SAS,3 avenue Hoche 75008 PARIS,176 rue D’Estiennes D’Orves 92700 COLOMBES,PARIS 518 990 700,FR86518990700,150 000 €,ARTHUR 2JDL,176 rue d'Estienne d'Orves 92700 Colombes,,contact@arthur.tm.fr
BENOA,SARL AVICA,"ZI DE CORBARA LIEU-DIT CURSANINCO, 20256 CORBARA France","ZI DE CORBARA LIEU-DIT CURSANINCO, 20256 CORBARA France",Bastia B 497652123,FR87497652123,2 000 €,Anne Canioni,"BENOA, ZONE INDUSTRIELLE CORBARA, ROUTE DE CALVI, 20256 CORBARA",France,anne@benoashop.com
René Derhy Import Export,RENE DERHY IMPORT EXPORT SA,4 rue du Faubourg Poissonnière 75010 PARIS,6 - 8  rue du Faubourg Poissonnière 75010 PARIS,PARIS 786509679,FR72786509679,581 250 €,Serge Derhy,25 Rue Spontini,,serge@derhy.com
